pea,cuidados_val,weights,cuidados_var_name
No participan en el mercado laboral,98,4841,cuidados_thrs
No participan en el mercado laboral,99,1525,cuidados_thrs
No participan en el mercado laboral,100,1569,cuidados_thrs
No participan en el mercado laboral,101,2870,cuidados_thrs
No participan en el mercado laboral,102,1449,cuidados_thrs
No participan en el mercado laboral,103,1006,cuidados_thrs
No participan en el mercado laboral,104,1311,cuidados_thrs
No participan en el mercado laboral,105,1579,cuidados_thrs
No participan en el mercado laboral,107,409,cuidados_thrs
No participan en el mercado laboral,108,1028,cuidados_thrs
No participan en el mercado laboral,109,490,cuidados_thrs
No participan en el mercado laboral,110,2638,cuidados_thrs
No participan en el mercado laboral,112,1761,cuidados_thrs
No participan en el mercado laboral,113,396,cuidados_thrs
No participan en el mercado laboral,114,556,cuidados_thrs
No participan en el mercado laboral,115,144,cuidados_thrs
No participan en el mercado laboral,116,157,cuidados_thrs
No participan en el mercado laboral,118,36,cuidados_thrs
No participan en el mercado laboral,119,793,cuidados_thrs
No participan en el mercado laboral,120,433,cuidados_thrs
No participan en el mercado laboral,121,2170,cuidados_thrs
No participan en el mercado laboral,122,538,cuidados_thrs
No participan en el mercado laboral,123,242,cuidados_thrs
No participan en el mercado laboral,125,159,cuidados_thrs
No participan en el mercado laboral,126,385,cuidados_thrs
No participan en el mercado laboral,127,59,cuidados_thrs
No participan en el mercado laboral,128,885,cuidados_thrs
No participan en el mercado laboral,129,1721,cuidados_thrs
No participan en el mercado laboral,130,99,cuidados_thrs
No participan en el mercado laboral,131,727,cuidados_thrs
No participan en el mercado laboral,132,166,cuidados_thrs
No participan en el mercado laboral,134,242,cuidados_thrs
No participan en el mercado laboral,135,144,cuidados_thrs
No participan en el mercado laboral,138,1321,cuidados_thrs
No participan en el mercado laboral,140,352,cuidados_thrs
No participan en el mercado laboral,142,32,cuidados_thrs
No participan en el mercado laboral,144,370,cuidados_thrs
No participan en el mercado laboral,145,466,cuidados_thrs
No participan en el mercado laboral,146,105,cuidados_thrs
No participan en el mercado laboral,147,842,cuidados_thrs
No participan en el mercado laboral,154,170,cuidados_thrs
No participan en el mercado laboral,196,5723,cuidados_thrs
No participan en el mercado laboral,197,499,cuidados_thrs
No participan en el mercado laboral,198,1901,cuidados_thrs
No participan en el mercado laboral,199,387,cuidados_thrs
No participan en el mercado laboral,200,535,cuidados_thrs
No participan en el mercado laboral,202,310,cuidados_thrs
No participan en el mercado laboral,203,423,cuidados_thrs
No participan en el mercado laboral,204,1190,cuidados_thrs
No participan en el mercado laboral,205,222,cuidados_thrs
No participan en el mercado laboral,206,500,cuidados_thrs
No participan en el mercado laboral,208,216,cuidados_thrs
No participan en el mercado laboral,212,176,cuidados_thrs
No participan en el mercado laboral,220,201,cuidados_thrs
No participan en el mercado laboral,294,1724,cuidados_thrs
No participan en el mercado laboral,295,116,cuidados_thrs
No participan en el mercado laboral,298,14,cuidados_thrs
No participan en el mercado laboral,392,70,cuidados_thrs
Participan en el mercado laboral,0,94230,cuidados_thrs
Participan en el mercado laboral,1,13675,cuidados_thrs
Participan en el mercado laboral,2,30736,cuidados_thrs
Participan en el mercado laboral,3,51748,cuidados_thrs
Participan en el mercado laboral,4,46063,cuidados_thrs
Participan en el mercado laboral,5,68322,cuidados_thrs
Participan en el mercado laboral,6,50703,cuidados_thrs
Participan en el mercado laboral,7,101031,cuidados_thrs
Participan en el mercado laboral,8,70390,cuidados_thrs
Participan en el mercado laboral,9,63187,cuidados_thrs
Participan en el mercado laboral,10,95011,cuidados_thrs
Participan en el mercado laboral,11,40380,cuidados_thrs
Participan en el mercado laboral,12,67849,cuidados_thrs
Participan en el mercado laboral,13,43677,cuidados_thrs
Participan en el mercado laboral,14,94087,cuidados_thrs
Participan en el mercado laboral,15,51732,cuidados_thrs
Participan en el mercado laboral,16,108767,cuidados_thrs
Participan en el mercado laboral,17,70100,cuidados_thrs
Participan en el mercado laboral,18,52429,cuidados_thrs
Participan en el mercado laboral,19,40363,cuidados_thrs
Participan en el mercado laboral,20,38550,cuidados_thrs
Participan en el mercado laboral,21,54359,cuidados_thrs
Participan en el mercado laboral,22,45418,cuidados_thrs
Participan en el mercado laboral,23,67478,cuidados_thrs
Participan en el mercado laboral,24,64589,cuidados_thrs
Participan en el mercado laboral,25,46458,cuidados_thrs
Participan en el mercado laboral,26,30142,cuidados_thrs
Participan en el mercado laboral,27,28238,cuidados_thrs
Participan en el mercado laboral,28,38646,cuidados_thrs
Participan en el mercado laboral,29,23265,cuidados_thrs
Participan en el mercado laboral,30,46184,cuidados_thrs
Participan en el mercado laboral,31,32959,cuidados_thrs
Participan en el mercado laboral,32,37631,cuidados_thrs
Participan en el mercado laboral,33,24330,cuidados_thrs
Participan en el mercado laboral,34,15316,cuidados_thrs
Participan en el mercado laboral,35,24598,cuidados_thrs
Participan en el mercado laboral,36,23777,cuidados_thrs
Participan en el mercado laboral,37,30646,cuidados_thrs
Participan en el mercado laboral,38,29510,cuidados_thrs
Participan en el mercado laboral,39,19837,cuidados_thrs
Participan en el mercado laboral,40,18465,cuidados_thrs
Participan en el mercado laboral,41,19171,cuidados_thrs
Participan en el mercado laboral,42,32285,cuidados_thrs
Participan en el mercado laboral,43,9957,cuidados_thrs
Participan en el mercado laboral,44,17576,cuidados_thrs
Participan en el mercado laboral,45,16174,cuidados_thrs
Participan en el mercado laboral,46,13808,cuidados_thrs
Participan en el mercado laboral,47,8629,cuidados_thrs
Participan en el mercado laboral,48,18708,cuidados_thrs
Participan en el mercado laboral,49,8580,cuidados_thrs
Participan en el mercado laboral,50,11082,cuidados_thrs
Participan en el mercado laboral,51,15125,cuidados_thrs
Participan en el mercado laboral,52,9497,cuidados_thrs
Participan en el mercado laboral,53,7511,cuidados_thrs
Participan en el mercado laboral,54,6356,cuidados_thrs
Participan en el mercado laboral,55,6571,cuidados_thrs
Participan en el mercado laboral,56,11045,cuidados_thrs
Participan en el mercado laboral,57,3116,cuidados_thrs
Participan en el mercado laboral,58,9497,cuidados_thrs
Participan en el mercado laboral,59,11618,cuidados_thrs
Participan en el mercado laboral,60,3622,cuidados_thrs
Participan en el mercado laboral,61,4779,cuidados_thrs
Participan en el mercado laboral,62,6241,cuidados_thrs
Participan en el mercado laboral,63,6509,cuidados_thrs
Participan en el mercado laboral,64,1581,cuidados_thrs
Participan en el mercado laboral,65,4152,cuidados_thrs
Participan en el mercado laboral,66,30332,cuidados_thrs
Participan en el mercado laboral,67,871,cuidados_thrs
Participan en el mercado laboral,68,1539,cuidados_thrs
Participan en el mercado laboral,69,631,cuidados_thrs
Participan en el mercado laboral,70,6455,cuidados_thrs
Participan en el mercado laboral,71,2172,cuidados_thrs
Participan en el mercado laboral,72,3891,cuidados_thrs
Participan en el mercado laboral,73,3849,cuidados_thrs
Participan en el mercado laboral,74,1706,cuidados_thrs
Participan en el mercado laboral,75,2596,cuidados_thrs
Participan en el mercado laboral,76,788,cuidados_thrs
Participan en el mercado laboral,77,1528,cuidados_thrs
Participan en el mercado laboral,78,822,cuidados_thrs
Participan en el mercado laboral,79,410,cuidados_thrs
Participan en el mercado laboral,80,290,cuidados_thrs
Participan en el mercado laboral,81,936,cuidados_thrs
Participan en el mercado laboral,82,644,cuidados_thrs
Participan en el mercado laboral,83,310,cuidados_thrs
Participan en el mercado laboral,84,161,cuidados_thrs
Participan en el mercado laboral,85,319,cuidados_thrs
Participan en el mercado laboral,86,1213,cuidados_thrs
Participan en el mercado laboral,87,270,cuidados_thrs
Participan en el mercado laboral,88,390,cuidados_thrs
Participan en el mercado laboral,89,90,cuidados_thrs
Participan en el mercado laboral,90,63,cuidados_thrs
Participan en el mercado laboral,91,714,cuidados_thrs
Participan en el mercado laboral,92,283,cuidados_thrs
Participan en el mercado laboral,94,344,cuidados_thrs
Participan en el mercado laboral,95,720,cuidados_thrs
Participan en el mercado laboral,97,50,cuidados_thrs
Participan en el mercado laboral,98,10409,cuidados_thrs
Participan en el mercado laboral,99,1509,cuidados_thrs
Participan en el mercado laboral,100,3850,cuidados_thrs
Participan en el mercado laboral,101,2234,cuidados_thrs
Participan en el mercado laboral,102,783,cuidados_thrs
Participan en el mercado laboral,103,1155,cuidados_thrs
Participan en el mercado laboral,104,1598,cuidados_thrs
Participan en el mercado laboral,105,2262,cuidados_thrs
Participan en el mercado laboral,106,695,cuidados_thrs
Participan en el mercado laboral,107,1818,cuidados_thrs
Participan en el mercado laboral,108,530,cuidados_thrs
Participan en el mercado laboral,109,1250,cuidados_thrs
Participan en el mercado laboral,110,1141,cuidados_thrs
Participan en el mercado laboral,111,738,cuidados_thrs
Participan en el mercado laboral,112,2996,cuidados_thrs
Participan en el mercado laboral,113,1160,cuidados_thrs
Participan en el mercado laboral,114,4343,cuidados_thrs
Participan en el mercado laboral,115,1342,cuidados_thrs
Participan en el mercado laboral,116,1626,cuidados_thrs
Participan en el mercado laboral,117,1369,cuidados_thrs
Participan en el mercado laboral,118,48,cuidados_thrs
Participan en el mercado laboral,119,609,cuidados_thrs
Participan en el mercado laboral,120,618,cuidados_thrs
Participan en el mercado laboral,121,1669,cuidados_thrs
Participan en el mercado laboral,122,2041,cuidados_thrs
Participan en el mercado laboral,123,94,cuidados_thrs
Participan en el mercado laboral,124,356,cuidados_thrs
Participan en el mercado laboral,125,32,cuidados_thrs
Participan en el mercado laboral,126,404,cuidados_thrs
Participan en el mercado laboral,127,133,cuidados_thrs
Participan en el mercado laboral,128,73,cuidados_thrs
Participan en el mercado laboral,129,206,cuidados_thrs
Participan en el mercado laboral,130,359,cuidados_thrs
Participan en el mercado laboral,131,794,cuidados_thrs
Participan en el mercado laboral,133,600,cuidados_thrs
Participan en el mercado laboral,134,278,cuidados_thrs
Participan en el mercado laboral,135,34,cuidados_thrs
Participan en el mercado laboral,137,113,cuidados_thrs
Participan en el mercado laboral,138,361,cuidados_thrs
Participan en el mercado laboral,140,151,cuidados_thrs
Participan en el mercado laboral,141,37,cuidados_thrs
Participan en el mercado laboral,144,349,cuidados_thrs
Participan en el mercado laboral,151,159,cuidados_thrs
Participan en el mercado laboral,154,377,cuidados_thrs
Participan en el mercado laboral,168,28,cuidados_thrs
Participan en el mercado laboral,196,10147,cuidados_thrs
Participan en el mercado laboral,197,2430,cuidados_thrs
Participan en el mercado laboral,198,1583,cuidados_thrs
Participan en el mercado laboral,199,914,cuidados_thrs
Participan en el mercado laboral,200,1385,cuidados_thrs
Participan en el mercado laboral,201,657,cuidados_thrs
Participan en el mercado laboral,203,1241,cuidados_thrs
Participan en el mercado laboral,204,468,cuidados_thrs
Participan en el mercado laboral,206,36,cuidados_thrs
Participan en el mercado laboral,208,167,cuidados_thrs
Participan en el mercado laboral,210,345,cuidados_thrs
Participan en el mercado laboral,216,164,cuidados_thrs
Participan en el mercado laboral,217,1555,cuidados_thrs
Participan en el mercado laboral,226,251,cuidados_thrs
Participan en el mercado laboral,294,1725,cuidados_thrs
Participan en el mercado laboral,301,365,cuidados_thrs
Participan en el mercado laboral,392,385,cuidados_thrs
No participan en el mercado laboral,0,88307,cuidados_thrs_hombres
No participan en el mercado laboral,0.1264957264957265,75,cuidados_thrs_hombres
No participan en el mercado laboral,0.16861939847807705,1396,cuidados_thrs_hombres
No participan en el mercado laboral,0.1878845243729295,397,cuidados_thrs_hombres
No participan en el mercado laboral,0.20495495495495494,91,cuidados_thrs_hombres
No participan en el mercado laboral,0.20916905444126074,92,cuidados_thrs_hombres
No participan en el mercado laboral,0.24792013311148087,154,cuidados_thrs_hombres
No participan en el mercado laboral,0.33214709371293,210,cuidados_thrs_hombres
No participan en el mercado laboral,0.34594264795607077,567,cuidados_thrs_hombres
No participan en el mercado laboral,0.4131455399061033,148,cuidados_thrs_hombres
No participan en el mercado laboral,0.44264943457189015,274,cuidados_thrs_hombres
No participan en el mercado laboral,0.48148148148148145,231,cuidados_thrs_hombres
No participan en el mercado laboral,0.4857142857142857,90,cuidados_thrs_hombres
No participan en el mercado laboral,0.5,3440,cuidados_thrs_hombres
No participan en el mercado laboral,0.5047619047619047,53,cuidados_thrs_hombres
No participan en el mercado laboral,0.5085447954427758,982,cuidados_thrs_hombres
No participan en el mercado laboral,0.5157159487776485,443,cuidados_thrs_hombres
No participan en el mercado laboral,0.5222222222222223,43,cuidados_thrs_hombres
No participan en el mercado laboral,0.5332252836304701,987,cuidados_thrs_hombres
No participan en el mercado laboral,0.5381526104417671,134,cuidados_thrs_hombres
No participan en el mercado laboral,0.5390070921985816,130,cuidados_thrs_hombres
No participan en el mercado laboral,0.5652985074626866,101,cuidados_thrs_hombres
No participan en el mercado laboral,0.5816993464052288,217,cuidados_thrs_hombres
No participan en el mercado laboral,0.599476439790576,229,cuidados_thrs_hombres
No participan en el mercado laboral,0.6054054054054054,129,cuidados_thrs_hombres
No participan en el mercado laboral,0.6242236024844721,268,cuidados_thrs_hombres
No participan en el mercado laboral,0.6271091113610798,444,cuidados_thrs_hombres
No participan en el mercado laboral,0.6428571428571429,243,cuidados_thrs_hombres
No participan en el mercado laboral,0.644808743169399,236,cuidados_thrs_hombres
No participan en el mercado laboral,0.6535819430814525,343,cuidados_thrs_hombres
No participan en el mercado laboral,0.6571428571428571,24,cuidados_thrs_hombres
No participan en el mercado laboral,0.6666666666666666,619,cuidados_thrs_hombres
No participan en el mercado laboral,0.6758541487223658,549,cuidados_thrs_hombres
No participan en el mercado laboral,0.6822916666666666,393,cuidados_thrs_hombres
No participan en el mercado laboral,0.6842105263157895,182,cuidados_thrs_hombres
No participan en el mercado laboral,0.7690721649484537,224,cuidados_thrs_hombres
No participan en el mercado laboral,0.7910750507099391,195,cuidados_thrs_hombres
No participan en el mercado laboral,0.8218602207041513,782,cuidados_thrs_hombres
No participan en el mercado laboral,0.8379493223335298,711,cuidados_thrs_hombres
No participan en el mercado laboral,0.8491589799240369,313,cuidados_thrs_hombres
No participan en el mercado laboral,0.8506151142355008,726,cuidados_thrs_hombres
No participan en el mercado laboral,0.8571428571428571,30,cuidados_thrs_hombres
No participan en el mercado laboral,0.8676307007786429,509,cuidados_thrs_hombres
No participan en el mercado laboral,0.8787878787878788,29,cuidados_thrs_hombres
No participan en el mercado laboral,0.8958333333333334,53,cuidados_thrs_hombres
No participan en el mercado laboral,0.9054621848739496,175,cuidados_thrs_hombres
No participan en el mercado laboral,0.9127134724857685,573,cuidados_thrs_hombres
No participan en el mercado laboral,0.9127906976744186,157,cuidados_thrs_hombres
No participan en el mercado laboral,0.925764192139738,318,cuidados_thrs_hombres
No participan en el mercado laboral,0.9285714285714286,52,cuidados_thrs_hombres
No participan en el mercado laboral,0.9289544235924933,231,cuidados_thrs_hombres
No participan en el mercado laboral,0.9348462664714495,273,cuidados_thrs_hombres
No participan en el mercado laboral,0.9351055512118843,490,cuidados_thrs_hombres
No participan en el mercado laboral,0.9354838709677419,87,cuidados_thrs_hombres
No participan en el mercado laboral,0.9357798165137615,82,cuidados_thrs_hombres
No participan en el mercado laboral,0.937888198757764,171,cuidados_thrs_hombres
No participan en el mercado laboral,0.9422382671480144,103,cuidados_thrs_hombres
No participan en el mercado laboral,0.9481946624803768,453,cuidados_thrs_hombres
No participan en el mercado laboral,0.9533487297921478,688,cuidados_thrs_hombres
No participan en el mercado laboral,0.9631548647092688,1673,cuidados_thrs_hombres
No participan en el mercado laboral,0.9711375212224108,185,cuidados_thrs_hombres
No participan en el mercado laboral,0.9735449735449735,92,cuidados_thrs_hombres
No participan en el mercado laboral,0.9895470383275261,287,cuidados_thrs_hombres
No participan en el mercado laboral,0.9940119760479041,1169,cuidados_thrs_hombres
No participan en el mercado laboral,0.9966120835686053,347,cuidados_thrs_hombres
No participan en el mercado laboral,1,10808,cuidados_thrs_hombres
No participan en el mercado laboral,1.0015157256536567,877,cuidados_thrs_hombres
No participan en el mercado laboral,1.0068143100511073,394,cuidados_thrs_hombres
No participan en el mercado laboral,1.0118764845605701,142,cuidados_thrs_hombres
No participan en el mercado laboral,1.0126582278481013,80,cuidados_thrs_hombres
No participan en el mercado laboral,1.0170316301703164,101,cuidados_thrs_hombres
No participan en el mercado laboral,1.0244059087989723,414,cuidados_thrs_hombres
No participan en el mercado laboral,1.0245231607629428,358,cuidados_thrs_hombres
No participan en el mercado laboral,1.0418410041841004,146,cuidados_thrs_hombres
No participan en el mercado laboral,1.0524835988753514,247,cuidados_thrs_hombres
No participan en el mercado laboral,1.0608335490551386,914,cuidados_thrs_hombres
No participan en el mercado laboral,1.0898617511520738,473,cuidados_thrs_hombres
No participan en el mercado laboral,1.0950413223140496,106,cuidados_thrs_hombres
No participan en el mercado laboral,1.0952380952380953,115,cuidados_thrs_hombres
No participan en el mercado laboral,1.1047619047619048,58,cuidados_thrs_hombres
No participan en el mercado laboral,1.1111111111111112,30,cuidados_thrs_hombres
No participan en el mercado laboral,1.1180555555555556,77,cuidados_thrs_hombres
No participan en el mercado laboral,1.124031007751938,161,cuidados_thrs_hombres
No participan en el mercado laboral,1.1420118343195267,72,cuidados_thrs_hombres
No participan en el mercado laboral,1.154394299287411,104,cuidados_thrs_hombres
No participan en el mercado laboral,1.1663974151857834,250,cuidados_thrs_hombres
No participan en el mercado laboral,1.1706751666183715,1010,cuidados_thrs_hombres
No participan en el mercado laboral,1.180327868852459,75,cuidados_thrs_hombres
No participan en el mercado laboral,1.1898734177215189,32,cuidados_thrs_hombres
No participan en el mercado laboral,1.1899070385126163,1099,cuidados_thrs_hombres
No participan en el mercado laboral,1.193050193050193,104,cuidados_thrs_hombres
No participan en el mercado laboral,1.1975051975051976,193,cuidados_thrs_hombres
No participan en el mercado laboral,1.2225,110,cuidados_thrs_hombres
No participan en el mercado laboral,1.25,266,cuidados_thrs_hombres
No participan en el mercado laboral,1.2574850299401197,194,cuidados_thrs_hombres
No participan en el mercado laboral,1.271067415730337,181,cuidados_thrs_hombres
No participan en el mercado laboral,1.2717770034843205,227,cuidados_thrs_hombres
No participan en el mercado laboral,1.290625,101,cuidados_thrs_hombres
No participan en el mercado laboral,1.2920673076923077,430,cuidados_thrs_hombres
No participan en el mercado laboral,1.298360655737705,99,cuidados_thrs_hombres
No participan en el mercado laboral,1.3071895424836601,100,cuidados_thrs_hombres
No participan en el mercado laboral,1.3214419827262487,2663,cuidados_thrs_hombres
No participan en el mercado laboral,1.3384615384615384,72,cuidados_thrs_hombres
No participan en el mercado laboral,1.3404255319148937,52,cuidados_thrs_hombres
No participan en el mercado laboral,1.3433395872420262,195,cuidados_thrs_hombres
No participan en el mercado laboral,1.3455858221201182,997,cuidados_thrs_hombres
No participan en el mercado laboral,1.348235294117647,191,cuidados_thrs_hombres
No participan en el mercado laboral,1.3576642335766422,150,cuidados_thrs_hombres
No participan en el mercado laboral,1.3657142857142857,128,cuidados_thrs_hombres
No participan en el mercado laboral,1.3703703703703705,336,cuidados_thrs_hombres
No participan en el mercado laboral,1.3850746268656717,412,cuidados_thrs_hombres
No participan en el mercado laboral,1.3927227101631117,370,cuidados_thrs_hombres
No participan en el mercado laboral,1.3956262425447317,205,cuidados_thrs_hombres
No participan en el mercado laboral,1.4,248,cuidados_thrs_hombres
No participan en el mercado laboral,1.4023090586145648,254,cuidados_thrs_hombres
No participan en el mercado laboral,1.4162348877374784,243,cuidados_thrs_hombres
No participan en el mercado laboral,1.4191616766467066,668,cuidados_thrs_hombres
No participan en el mercado laboral,1.4415357766143106,108,cuidados_thrs_hombres
No participan en el mercado laboral,1.4431818181818181,196,cuidados_thrs_hombres
No participan en el mercado laboral,1.4435545385202135,617,cuidados_thrs_hombres
No participan en el mercado laboral,1.4565217391304348,415,cuidados_thrs_hombres
No participan en el mercado laboral,1.4718810601163543,253,cuidados_thrs_hombres
No participan en el mercado laboral,1.474025974025974,130,cuidados_thrs_hombres
No participan en el mercado laboral,1.4876760563380282,175,cuidados_thrs_hombres
No participan en el mercado laboral,1.488599348534202,150,cuidados_thrs_hombres
No participan en el mercado laboral,1.4965197215777262,1038,cuidados_thrs_hombres
No participan en el mercado laboral,1.5,2698,cuidados_thrs_hombres
No participan en el mercado laboral,1.5130718954248366,149,cuidados_thrs_hombres
No participan en el mercado laboral,1.5220228384991843,302,cuidados_thrs_hombres
No participan en el mercado laboral,1.5256637168141594,121,cuidados_thrs_hombres
No participan en el mercado laboral,1.535014005602241,109,cuidados_thrs_hombres
No participan en el mercado laboral,1.555668016194332,298,cuidados_thrs_hombres
No participan en el mercado laboral,1.5706371191135735,567,cuidados_thrs_hombres
No participan en el mercado laboral,1.5732763598567965,4541,cuidados_thrs_hombres
No participan en el mercado laboral,1.5776892430278884,119,cuidados_thrs_hombres
No participan en el mercado laboral,1.580824088748019,888,cuidados_thrs_hombres
No participan en el mercado laboral,1.5852417302798982,215,cuidados_thrs_hombres
No participan en el mercado laboral,1.5884773662551441,227,cuidados_thrs_hombres
No participan en el mercado laboral,1.5978260869565217,43,cuidados_thrs_hombres
No participan en el mercado laboral,1.6000962463907604,1128,cuidados_thrs_hombres
No participan en el mercado laboral,1.607501674480911,1013,cuidados_thrs_hombres
No participan en el mercado laboral,1.6122448979591837,68,cuidados_thrs_hombres
No participan en el mercado laboral,1.6241721854304636,3960,cuidados_thrs_hombres
No participan en el mercado laboral,1.64,34,cuidados_thrs_hombres
No participan en el mercado laboral,1.642055522740697,1137,cuidados_thrs_hombres
No participan en el mercado laboral,1.6484641638225257,132,cuidados_thrs_hombres
No participan en el mercado laboral,1.662591687041565,92,cuidados_thrs_hombres
No participan en el mercado laboral,1.6666666666666667,387,cuidados_thrs_hombres
No participan en el mercado laboral,1.66875,267,cuidados_thrs_hombres
No participan en el mercado laboral,1.6876475216365068,193,cuidados_thrs_hombres
No participan en el mercado laboral,1.6881720430107527,189,cuidados_thrs_hombres
No participan en el mercado laboral,1.6938775510204083,85,cuidados_thrs_hombres
No participan en el mercado laboral,1.6992840095465394,325,cuidados_thrs_hombres
No participan en el mercado laboral,1.702078521939954,76,cuidados_thrs_hombres
No participan en el mercado laboral,1.7142857142857142,56,cuidados_thrs_hombres
No participan en el mercado laboral,1.7147351861562663,817,cuidados_thrs_hombres
No participan en el mercado laboral,1.7209302325581395,74,cuidados_thrs_hombres
No participan en el mercado laboral,1.726027397260274,79,cuidados_thrs_hombres
No participan en el mercado laboral,1.7305151915455745,262,cuidados_thrs_hombres
No participan en el mercado laboral,1.7380952380952381,285,cuidados_thrs_hombres
No participan en el mercado laboral,1.7534246575342465,546,cuidados_thrs_hombres
No participan en el mercado laboral,1.7613941018766757,219,cuidados_thrs_hombres
No participan en el mercado laboral,1.765625,113,cuidados_thrs_hombres
No participan en el mercado laboral,1.7731568998109641,173,cuidados_thrs_hombres
No participan en el mercado laboral,1.7741617357001973,382,cuidados_thrs_hombres
